chunk_text,predicted_label,confidence,greenwashing_probability,sentiment_label,sentiment_score,suspicious_phrases,highlighted_html
"Ecolab helps SAP minimize risks and avoid unexpected costs that challenge the data center industry. solutions 3D TRASAR™ Cooling Water Technology Comprehensive water safety management plan SAP is not only a leader in the software industry, it is a leader in water safety management practices.",greenwashing,0.5923046087100707,0.5923046087100707,neutral,-0.14907119849998599,,"Ecolab helps SAP minimize risks and avoid unexpected costs that challenge the data center industry. solutions 3D TRASAR™ Cooling Water Technology Comprehensive water safety management plan SAP is not only a leader in the software industry, it is a leader in water safety management practices."
"As digital traffic grows, data centers are experiencing a global growth spurt. Data centers are buildings of servers that produce heat, so they require cooling, which takes large amounts of water and energy.",greenwashing,0.5619786905791041,0.5619786905791041,neutral,0.0,,"As digital traffic grows, data centers are experiencing a global growth spurt. Data centers are buildings of servers that produce heat, so they require cooling, which takes large amounts of water and energy."
"Ecolab’s comprehensive 2018 Corporate Sustainability Report, for reporting period January 1 through December 31, 2018, is available at www.ecolab.com/sustainability. The report has been completed in alignment with the guidelines of the Global Reporting Initiative’s GRI Standards.",greenwashing,0.5465840865668055,0.5465840865668055,neutral,0.0,,"Ecolab’s comprehensive 2018 Corporate Sustainability Report, for reporting period January 1 through December 31, 2018, is available at www.ecolab.com/sustainability. The report has been completed in alignment with the guidelines of the Global Reporting Initiative’s GRI Standards."
"We can’t turn the world around all by ourselves, but together, we are key to getting things moving. That’s why we must set big, ambitious goals. Change is always hard. It’s best to make sure the returns are worth the work.",greenwashing,0.5346809200242518,0.5346809200242518,neutral,0.0,,"We can’t turn the world around all by ourselves, but together, we are key to getting things moving. That’s why we must set big, ambitious goals. Change is always hard. It’s best to make sure the returns are worth the work."
"EPA local factor of 1.5 lb CO2e/kwh. https://www.epa.gov/energy/greenhouse-gas-equivalencies-calculator 2ADM 2016 Sustainability Report. https://assets.adm.com/Sustainability/ADM_Sustainability_CorporateSustainabilityReport_2016.pdf. (page 29 in report, page 31 on the PDF page), based on 2008 baseline.",greenwashing,0.5336441797067716,0.5336441797067716,neutral,0.0,,"EPA local factor of 1.5 lb CO2e/kwh. https://www.epa.gov/energy/greenhouse-gas-equivalencies-calculator 2ADM 2016 Sustainability Report. https://assets.adm.com/Sustainability/ADM_Sustainability_CorporateSustainabilityReport_2016.pdf. (page 29 in report, page 31 on the PDF page), based on 2008 baseline."
"Whether it’s saving water and energy or reducing waste and greenhouse gas emissions, there’s a growing realization that these priorities go hand in hand with business growth and profitability.",greenwashing,0.5331627307344942,0.5331627307344942,negative,-0.1796053020267749,,"Whether it’s saving water and energy or reducing waste and greenhouse gas emissions, there’s a growing realization that these priorities go hand in hand with business growth and profitability."
"ECOLAB SUSTAINABILITY REPORT 2018 35 2018 SAFETY METRICS Our overarching safety goal is zero incidents. But Goal Zero is not just a number, it is a journey. On the way there, Ecolab places great value on training and education.",greenwashing,0.5319374887995679,0.5319374887995679,positive,0.16666666666666666,,"ECOLAB SUSTAINABILITY REPORT 2018 35 2018 SAFETY METRICS Our overarching safety goal is zero incidents. But Goal Zero is not just a number, it is a journey. On the way there, Ecolab places great value on training and education."
"The key element is the Stealth™ Fly Station, a reflective device that attracts flies before they can enter a facility. The customer received organic certification for the new product line.",greenwashing,0.528686560022878,0.528686560022878,neutral,0.0,,"The key element is the Stealth™ Fly Station, a reflective device that attracts flies before they can enter a facility. The customer received organic certification for the new product line."
"We’re learning all the time.” For a small restaurant, optimizing chemistries and equipment also is a cost-saver. At The Buttered Tin, cleaning products, detergents and sanitizers are a significant weekly expense, so Ecolab’s highly efficient products not only save water and energy, but also money.",greenwashing,0.5264411736550537,0.5264411736550537,neutral,0.14433756729740646,,"We’re learning all the time.” For a small restaurant, optimizing chemistries and equipment also is a cost-saver. At The Buttered Tin, cleaning products, detergents and sanitizers are a significant weekly expense, so Ecolab’s highly efficient products not only save water and energy, but also money."
"Now is the time to get water-smart. 24 ECOLAB SUSTAINABILITY REPORT 2018 25 PARTNERSHIPS FOR PEOPLE AND NATURE COMMUNITY RELATIONS TRAINING THE NEXT GENERATION OF EXPERTS With sustainability concerns growing in importance for business and society, it is vital that we build a steady pipeline of experts offering fresh ideas and solutions.",greenwashing,0.522806951686538,0.522806951686538,neutral,0.0,,"Now is the time to get water-smart. 24 ECOLAB SUSTAINABILITY REPORT 2018 25 PARTNERSHIPS FOR PEOPLE AND NATURE COMMUNITY RELATIONS TRAINING THE NEXT GENERATION OF EXPERTS With sustainability concerns growing in importance for business and society, it is vital that we build a steady pipeline of experts offering fresh ideas and solutions."
